Day,Month,NewCustomers,TotalMembers,PatientsSeen,CurrentPediatricDoctors,CurrentOrthoDoctors,CurrentNurses,RevenuePrevention,RevenueTreatment,RevenueOrtho,RevenueCardDaily,RevenueTotal,CashNewCard,CashRenewCard,CashTreatment,CashFlowToday,Cash,Costs,DoctorSalary,NurseSalary,MonthlyCardRevenue,ContractLiability,CardContractLiability,OrthoContractLiability,PediatricMaterialRatio,OrthoMaterialRatio
28,1,0,18,0,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-429102.0,0.0,0.0,0.0,0.0,99700.0,59200.0,40500,0.05,0.3
29,1,1,18,1,1,1,4,0,800,0,0.0,800.0,0,0,800,760.0,-428342.0,40.0,0.0,0.0,0.0,99700.0,59200.0,40500,0.05,0.3
30,1,1,19,1,1,1,4,0,520,0,0.0,1520.0,5000,0,520,5494.0,-422848.0,26.0,0.0,0.0,0.0,98500.0,58000.0,40500,0.05,0.3
31,2,1,20,1,1,1,4,0,0,0,42.22222222222222,242.22222222222223,1000,0,0,-120244.26666666666,-543092.2666666666,121244.26666666666,30000.0,28244.266666666666,1266.6666666666667,102433.33333333333,61933.33333333333,40500,0.05,0.3
32,2,0,20,0,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-543092.2666666666,0.0,0.0,0.0,1266.6666666666667,103166.66666666667,62666.66666666667,40500,0.05,0.3
33,2,1,21,2,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-538092.2666666666,0.0,0.0,0.0,1266.6666666666667,103166.66666666667,62666.66666666667,40500,0.05,0.3
34,2,0,21,0,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-538092.2666666666,0.0,0.0,0.0,1266.6666666666667,107100.0,66600.0,40500,0.05,0.3
35,2,1,21,1,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-538092.2666666666,0.0,0.0,0.0,1266.6666666666667,107100.0,66600.0,40500,0.05,0.3
36,2,1,21,1,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-538092.2666666666,0.0,0.0,0.0,1266.6666666666667,107100.0,66600.0,40500,0.05,0.3
37,2,1,22,1,1,1,4,0,520,0,42.22222222222222,1562.2222222222222,5000,0,520,5494.0,-532598.2666666666,26.0,0.0,0.0,1266.6666666666667,107100.0,66600.0,40500,0.05,0.3
38,2,1,23,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-527598.2666666666,0.0,0.0,0.0,1266.6666666666667,111033.33333333333,70533.33333333333,40500,0.05,0.3
39,2,1,24,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-522598.2666666666,0.0,0.0,0.0,1266.6666666666667,114966.66666666667,74466.66666666667,40500,0.05,0.3
40,2,0,24,0,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-522598.2666666666,0.0,0.0,0.0,1266.6666666666667,118900.0,78400.0,40500,0.05,0.3
41,2,1,24,1,1,1,4,0,800,0,42.22222222222222,842.2222222222222,0,0,800,760.0,-521838.2666666666,40.0,0.0,0.0,1266.6666666666667,118900.0,78400.0,40500,0.05,0.3
42,2,2,25,2,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-516838.2666666666,0.0,0.0,0.0,1266.6666666666667,118900.0,78400.0,40500,0.05,0.3
43,2,0,25,0,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-516838.2666666666,0.0,0.0,0.0,1266.6666666666667,122833.33333333333,82333.33333333333,40500,0.05,0.3
44,2,1,26,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-511838.2666666666,0.0,0.0,0.0,1266.6666666666667,122833.33333333333,82333.33333333333,40500,0.05,0.3
45,2,1,27,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-506838.2666666666,0.0,0.0,0.0,1266.6666666666667,126766.66666666667,86266.66666666667,40500,0.05,0.3
46,2,2,28,2,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-501838.2666666666,0.0,0.0,0.0,1266.6666666666667,130700.0,90200.0,40500,0.05,0.3
47,2,2,29,2,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-496838.2666666666,0.0,0.0,0.0,1266.6666666666667,134633.3333333333,94133.33333333333,40500,0.05,0.3
48,2,1,30,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-491838.2666666666,0.0,0.0,0.0,1266.6666666666667,138566.6666666667,98066.66666666667,40500,0.05,0.3
49,2,2,32,2,1,1,4,0,0,0,42.22222222222222,2042.2222222222222,10000,0,0,10000.0,-481838.2666666666,0.0,0.0,0.0,1266.6666666666667,142500.0,102000.0,40500,0.05,0.3
50,2,1,33,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-476838.2666666666,0.0,0.0,0.0,1266.6666666666667,150366.6666666667,109866.66666666667,40500,0.05,0.3
51,2,2,35,2,1,1,4,0,0,0,42.22222222222222,442.22222222222223,2000,0,0,2000.0,-474838.2666666666,0.0,0.0,0.0,1266.6666666666667,154300.0,113800.0,40500,0.05,0.3
52,2,1,36,1,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-469838.2666666666,0.0,0.0,0.0,1266.6666666666667,155766.6666666667,115266.66666666667,40500,0.05,0.3
53,2,2,36,2,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-469838.2666666666,0.0,0.0,0.0,1266.6666666666667,159700.0,119200.0,40500,0.05,0.3
54,2,1,36,2,1,1,4,0,800,0,42.22222222222222,842.2222222222222,0,0,800,760.0,-469078.2666666666,40.0,0.0,0.0,1266.6666666666667,159700.0,119200.0,40500,0.05,0.3
55,2,1,36,1,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-469078.2666666666,0.0,0.0,0.0,1266.6666666666667,159700.0,119200.0,40500,0.05,0.3
56,2,2,37,3,1,1,4,0,0,0,42.22222222222222,1042.2222222222222,5000,0,0,5000.0,-464078.2666666666,0.0,0.0,0.0,1266.6666666666667,159700.0,119200.0,40500,0.05,0.3
57,2,2,39,2,1,1,4,0,0,0,42.22222222222222,1242.2222222222222,6000,0,0,6000.0,-458078.2666666666,0.0,0.0,0.0,1266.6666666666667,163633.33333333334,123133.33333333334,40500,0.05,0.3
58,2,2,41,2,1,1,4,0,520,0,42.22222222222222,2562.222222222222,10000,0,520,10494.0,-447584.2666666666,26.0,0.0,0.0,1266.6666666666667,168300.0,127800.0,40500,0.05,0.3
59,2,1,41,1,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-447584.2666666666,0.0,0.0,0.0,1266.6666666666667,176166.66666666666,135666.66666666666,40500,0.05,0.3
60,2,1,41,1,1,1,4,0,0,0,42.22222222222222,42.22222222222222,0,0,0,0.0,-447584.2666666666,0.0,0.0,0.0,1266.6666666666667,173433.33333333334,132933.33333333334,40500,0.05,0.3
61,3,1,42,1,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,5000.0,-442584.2666666666,0.0,0.0,0.0,2733.3333333333335,173433.33333333334,132933.33333333334,40500,0.05,0.3
62,3,2,43,2,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,-116000.0,-558584.2666666666,121000.0,30000.0,28000.0,2733.3333333333335,177300.0,136800.0,40500,0.05,0.3
63,3,2,44,3,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-557584.2666666666,0.0,0.0,0.0,2733.3333333333335,181166.66666666666,140666.66666666666,40500,0.05,0.3
64,3,2,46,2,1,1,4,0,0,10725,91.11111111111111,12816.111111111111,10000,0,19500,26282.5,-531301.7666666666,3217.5,0.0,0.0,2733.3333333333335,190608.33333333334,141333.33333333334,49275,0.05,0.3
65,3,1,47,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-530301.7666666666,0.0,0.0,0.0,2733.3333333333335,198341.66666666666,149066.66666666666,49275,0.05,0.3
66,3,1,48,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-529301.7666666666,0.0,0.0,0.0,2733.3333333333335,199008.33333333334,149733.33333333334,49275,0.05,0.3
67,3,2,48,2,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-529301.7666666666,0.0,0.0,0.0,2733.3333333333335,199675.0,150400.0,49275,0.05,0.3
68,3,0,48,0,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-529301.7666666666,0.0,0.0,0.0,2733.3333333333335,199675.0,150400.0,49275,0.05,0.3
69,3,1,49,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-528301.7666666666,0.0,0.0,0.0,2733.3333333333335,199675.0,150400.0,49275,0.05,0.3
70,3,1,49,1,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-528301.7666666666,0.0,0.0,0.0,2733.3333333333335,200341.66666666666,151066.66666666666,49275,0.05,0.3
71,3,1,50,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-527301.7666666666,0.0,0.0,0.0,2733.3333333333335,200341.66666666666,151066.66666666666,49275,0.05,0.3
72,3,1,50,1,1,1,4,0,0,16500,91.11111111111111,16591.11111111111,0,0,30000,25050.0,-502251.7666666666,4950.0,0.0,0.0,2733.3333333333335,214508.33333333334,151733.33333333334,62775,0.05,0.3
73,3,3,51,3,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-501251.7666666666,0.0,0.0,0.0,2733.3333333333335,214508.33333333334,151733.33333333334,62775,0.05,0.3
74,3,2,53,2,1,1,4,0,0,0,91.11111111111111,491.1111111111111,2000,0,0,2000.0,-499251.7666666666,0.0,0.0,0.0,2733.3333333333335,215175.0,152400.0,62775,0.05,0.3
75,3,1,54,1,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,5000.0,-494251.7666666666,0.0,0.0,0.0,2733.3333333333335,216508.33333333334,153733.33333333334,62775,0.05,0.3
76,3,2,54,2,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-494251.7666666666,0.0,0.0,0.0,2733.3333333333335,220375.0,157600.0,62775,0.05,0.3
77,3,2,55,2,1,1,4,0,0,10725,91.11111111111111,11816.111111111111,5000,0,19500,21282.5,-472969.2666666666,3217.5,0.0,0.0,2733.3333333333335,229150.0,157600.0,71550,0.05,0.3
78,3,1,56,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-471969.2666666666,0.0,0.0,0.0,2733.3333333333335,233016.66666666666,161466.66666666666,71550,0.05,0.3
79,3,0,56,0,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-471969.2666666666,0.0,0.0,0.0,2733.3333333333335,233683.33333333334,162133.33333333334,71550,0.05,0.3
80,3,2,56,2,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-471969.2666666666,0.0,0.0,0.0,2733.3333333333335,233683.33333333334,162133.33333333334,71550,0.05,0.3
81,3,2,58,2,1,1,4,0,520,0,91.11111111111111,2611.1111111111113,10000,0,520,10494.0,-461475.2666666666,26.0,0.0,0.0,2733.3333333333335,233683.33333333334,162133.33333333334,71550,0.05,0.3
82,3,2,58,2,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-461475.2666666666,0.0,0.0,0.0,2733.3333333333335,241416.66666666666,169866.66666666666,71550,0.05,0.3
83,3,2,60,2,1,1,4,0,520,0,91.11111111111111,1811.111111111111,6000,0,520,6494.0,-454981.2666666666,26.0,0.0,0.0,2733.3333333333335,241416.66666666666,169866.66666666666,71550,0.05,0.3
84,3,2,60,3,1,1,4,0,800,0,91.11111111111111,891.1111111111111,0,0,800,760.0,-454221.2666666666,40.0,0.0,0.0,2733.3333333333335,245950.0,174400.0,71550,0.05,0.3
85,3,2,61,2,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,5000.0,-449221.2666666666,0.0,0.0,0.0,2733.3333333333335,245950.0,174400.0,71550,0.05,0.3
86,3,2,61,3,1,1,4,0,0,0,91.11111111111111,91.11111111111111,0,0,0,0.0,-449221.2666666666,0.0,0.0,0.0,2733.3333333333335,249816.66666666666,178266.66666666666,71550,0.05,0.3
87,3,3,63,3,1,1,4,0,0,0,91.11111111111111,2091.1111111111113,10000,0,0,10000.0,-439221.2666666666,0.0,0.0,0.0,2733.3333333333335,249816.66666666666,178266.66666666666,71550,0.05,0.3
88,3,2,64,2,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,5000.0,-434221.2666666666,0.0,0.0,0.0,2733.3333333333335,257550.0,186000.0,71550,0.05,0.3
89,3,1,65,1,1,1,4,0,0,0,91.11111111111111,291.1111111111111,1000,0,0,1000.0,-433221.2666666666,0.0,0.0,0.0,2733.3333333333335,261416.6666666667,189866.6666666667,71550,0.05,0.3
90,3,2,66,3,1,1,4,0,0,0,91.11111111111111,1091.111111111111,5000,0,0,5000.0,-428221.2666666666,0.0,0.0,0.0,2733.3333333333335,257750.0,186200.0,71550,0.05,0.3
91,4,2,66,2,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-428221.2666666666,0.0,0.0,0.0,4400.0,261550.0,190000.0,71550,0.05,0.3
92,4,1,67,2,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-423221.2666666666,0.0,0.0,0.0,4400.0,261550.0,190000.0,71550,0.05,0.3
93,4,4,70,5,1,1,4,0,0,0,146.66666666666666,3146.6666666666665,15000,0,0,-106000.0,-529221.2666666666,121000.0,30000.0,28000.0,4400.0,265350.0,193800.0,71550,0.05,0.3
94,4,1,71,3,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-524221.2666666666,0.0,0.0,0.0,4400.0,276750.0,205200.0,71550,0.05,0.3
95,4,2,72,5,1,1,4,0,520,0,146.66666666666666,1666.6666666666665,5000,0,520,5494.0,-518727.2666666666,26.0,0.0,0.0,4400.0,280550.0,209000.0,71550,0.05,0.3
96,4,1,72,1,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-518727.2666666666,0.0,0.0,0.0,4400.0,284350.0,212800.0,71550,0.05,0.3
97,4,1,72,1,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-518727.2666666666,0.0,0.0,0.0,4400.0,284350.0,212800.0,71550,0.05,0.3
98,4,2,72,3,1,1,4,0,520,0,146.66666666666666,666.6666666666666,0,0,520,494.0,-518233.2666666666,26.0,0.0,0.0,4400.0,284350.0,212800.0,71550,0.05,0.3
99,4,2,73,3,1,1,4,0,0,0,146.66666666666666,346.66666666666663,1000,0,0,1000.0,-517233.2666666666,0.0,0.0,0.0,4400.0,284350.0,212800.0,71550,0.05,0.3
100,4,2,74,3,1,1,4,0,0,5005,146.66666666666666,6151.666666666667,5000,0,9100,12598.5,-504634.7666666666,1501.5,0.0,0.0,4400.0,289045.0,213400.0,75645,0.05,0.3
101,4,1,75,2,1,1,4,0,520,0,146.66666666666666,866.6666666666666,1000,0,520,1494.0,-503140.7666666666,26.0,0.0,0.0,4400.0,292845.0,217200.0,75645,0.05,0.3
102,4,3,76,4,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-498140.7666666666,0.0,0.0,0.0,4400.0,293445.0,217800.0,75645,0.05,0.3
103,4,2,76,3,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-498140.7666666666,0.0,0.0,0.0,4400.0,297245.0,221600.0,75645,0.05,0.3
104,4,0,76,2,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-498140.7666666666,0.0,0.0,0.0,4400.0,297245.0,221600.0,75645,0.05,0.3
105,4,2,78,3,1,1,4,0,0,0,146.66666666666666,2146.6666666666665,10000,0,0,10000.0,-488140.7666666666,0.0,0.0,0.0,4400.0,297245.0,221600.0,75645,0.05,0.3
106,4,1,79,1,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-483140.7666666666,0.0,0.0,0.0,4400.0,304845.0,229200.0,75645,0.05,0.3
107,4,2,81,3,1,1,4,0,520,0,146.66666666666666,2666.6666666666665,10000,0,520,10494.0,-472646.7666666666,26.0,0.0,0.0,4400.0,308645.0,233000.0,75645,0.05,0.3
108,4,2,82,4,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-467646.7666666666,0.0,0.0,0.0,4400.0,316245.0,240600.0,75645,0.05,0.3
109,4,2,83,4,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-462646.7666666666,0.0,0.0,0.0,4400.0,320045.0,244400.0,75645,0.05,0.3
110,4,2,84,3,1,1,4,0,0,0,146.66666666666666,346.66666666666663,1000,0,0,1000.0,-461646.7666666666,0.0,0.0,0.0,4400.0,323845.0,248200.0,75645,0.05,0.3
111,4,1,85,2,1,1,4,0,0,0,146.66666666666666,346.66666666666663,1000,0,0,1000.0,-460646.7666666666,0.0,0.0,0.0,4400.0,324445.0,248800.0,75645,0.05,0.3
112,4,2,87,2,1,1,4,0,0,0,146.66666666666666,546.6666666666666,2000,0,0,2000.0,-458646.7666666666,0.0,0.0,0.0,4400.0,325045.0,249400.0,75645,0.05,0.3
113,4,2,88,5,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-453646.7666666666,0.0,0.0,0.0,4400.0,326245.0,250600.0,75645,0.05,0.3
114,4,2,89,3,1,1,4,0,0,0,146.66666666666666,346.66666666666663,1000,0,0,1000.0,-452646.7666666666,0.0,0.0,0.0,4400.0,330045.0,254400.0,75645,0.05,0.3
115,4,1,89,1,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-452646.7666666666,0.0,0.0,0.0,4400.0,330645.0,255000.0,75645,0.05,0.3
116,4,1,89,3,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-452646.7666666666,0.0,0.0,0.0,4400.0,330645.0,255000.0,75645,0.05,0.3
117,4,2,90,3,1,1,4,0,0,0,146.66666666666666,1146.6666666666667,5000,0,0,5000.0,-447646.7666666666,0.0,0.0,0.0,4400.0,330645.0,255000.0,75645,0.05,0.3
118,4,3,92,5,1,1,4,0,0,0,146.66666666666666,2146.6666666666665,10000,0,0,10000.0,-437646.7666666666,0.0,0.0,0.0,4400.0,334445.0,258800.0,75645,0.05,0.3
119,4,2,93,4,1,1,4,0,0,0,146.66666666666666,346.66666666666663,1000,0,0,1000.0,-436646.7666666666,0.0,0.0,0.0,4400.0,342045.0,266400.0,75645,0.05,0.3
120,4,1,93,1,1,1,4,0,0,0,146.66666666666666,146.66666666666666,0,0,0,0.0,-436646.7666666666,0.0,0.0,0.0,4400.0,336445.0,260800.0,75645,0.05,0.3
121,5,2,94,4,1,1,4,0,0,0,206.66666666666666,1206.6666666666667,5000,0,0,5000.0,-431646.7666666666,0.0,0.0,0.0,6200.0,336445.0,260800.0,75645,0.05,0.3
122,5,2,94,2,1,1,4,0,0,0,206.66666666666666,206.66666666666666,0,0,0,0.0,-431646.7666666666,0.0,0.0,0.0,6200.0,340178.3333333333,264533.3333333333,75645,0.05,0.3
123,5,1,95,2,1,1,4,0,520,0,206.66666666666666,1726.6666666666665,5000,0,520,5494.0,-426152.7666666666,26.0,0.0,0.0,6200.0,340178.3333333333,264533.3333333333,75645,0.05,0.3
124,5,1,95,3,1,1,4,0,0,0,206.66666666666666,206.66666666666666,0,0,0,-121000.0,-547152.7666666666,121000.0,30000.0,28000.0,6200.0,343911.6666666667,268266.6666666667,75645,0.05,0.3
125,5,3,95,3,1,1,4,0,0,0,206.66666666666666,206.66666666666666,0,0,0,0.0,-547152.7666666666,0.0,0.0,0.0,6200.0,343911.6666666667,268266.6666666667,75645,0.05,0.3
126,5,3,97,4,1,1,4,0,0,0,206.66666666666666,2206.6666666666665,10000,0,0,10000.0,-537152.7666666666,0.0,0.0,0.0,6200.0,343911.6666666667,268266.6666666667,75645,0.05,0.3
127,5,2,98,3,1,1,4,0,0,0,206.66666666666666,1206.6666666666667,5000,0,0,5000.0,-532152.7666666666,0.0,0.0,0.0,6200.0,351378.3333333333,275733.3333333333,75645,0.05,0.3
128,5,1,99,3,1,1,4,0,0,0,206.66666666666666,1206.6666666666667,5000,0,0,5000.0,-527152.7666666666,0.0,0.0,0.0,6200.0,355111.6666666667,279466.6666666667,75645,0.05,0.3
129,5,2,101,4,1,1,4,0,0,0,206.66666666666666,2206.6666666666665,10000,0,0,10000.0,-517152.7666666666,0.0,0.0,0.0,6200.0,358845.0,283200.0,75645,0.05,0.3
130,5,0,101,1,1,1,4,0,0,0,206.66666666666666,206.66666666666666,0,0,0,0.0,-517152.7666666666,0.0,0.0,0.0,6200.0,366311.6666666667,290666.6666666667,75645,0.05,0.3
131,5,3,103,3,1,1,4,0,0,0,206.66666666666666,1406.6666666666667,6000,0,0,6000.0,-511152.7666666666,0.0,0.0,0.0,6200.0,366311.6666666667,290666.6666666667,75645,0.05,0.3
132,5,2,104,4,1,1,4,0,0,10725,206.66666666666666,11131.666666666666,1000,0,19500,17282.5,-493870.2666666666,3217.5,0.0,0.0,6200.0,379353.3333333333,294933.3333333333,84420,0.05,0.3
133,5,3,107,3,1,1,4,0,0,0,206.66666666666666,3206.6666666666665,15000,0,0,15000.0,-478870.2666666666,0.0,0.0,0.0,6200.0,379886.6666666667,295466.6666666667,84420,0.05,0.3
134,5,3,110,4,1,1,4,0,0,0,206.66666666666666,1606.6666666666667,7000,0,0,7000.0,-471870.2666666666,0.0,0.0,0.0,6200.0,391086.6666666667,306666.6666666667,84420,0.05,0.3
135,5,3,113,4,1,1,4,0,520,5005,206.66666666666666,8731.666666666668,15000,0,9620,23092.5,-448777.7666666666,1527.5,0.0,0.0,6200.0,399981.6666666666,311466.6666666666,88515,0.05,0.3
136,5,2,113,5,1,1,4,0,0,0,206.66666666666666,206.66666666666666,0,0,0,0.0,-448777.7666666666,0.0,0.0,0.0,6200.0,411181.6666666666,322666.6666666666,88515,0.05,0.3
137,5,3,114,7,1,1,4,0,1840,0,206.66666666666666,3046.666666666667,5000,0,1840,6748.0,-442029.7666666666,92.0,0.0,0.0,6200.0,411181.6666666666,322666.6666666666,88515,0.05,0.3
